Player,Min,year,PlayerName,PlayerID
Juan Esteban Ortiz\Juan-Esteban-Ortiz,172,2016,Juan Esteban Ortiz,Juan-Esteban-Ortiz
Juan Manuel Martínez\Juan-Manuel-Martinez,2512,2016,Juan Manuel Martínez,Juan-Manuel-Martinez
Julian Büscher\Julian-Buscher,600,2016,Julian Büscher,Julian-Buscher
Justen Glad\Justen-Glad,2424,2016,Justen Glad,Justen-Glad
Justin Bilyeu\Justin-Bilyeu,119,2016,Justin Bilyeu,Justin-Bilyeu
Justin Mapp\Justin-Mapp,48,2016,Justin Mapp,Justin-Mapp
Justin Meram\Justin-Meram,2591,2016,Justin Meram,Justin-Meram
Justin Morrow\Justin-Morrow,2648,2016,Justin Morrow,Justin-Morrow
Jámison Olave\Jamison-Olave,1482,2016,Jámison Olave,Jamison-Olave
Júlio Baptista\Julio-Baptista,741,2016,Júlio Baptista,Julio-Baptista
Kaká\Kaka,1951,2016,Kaká,Kaka
Karl Ouimette\Karl-Ouimette,582,2016,Karl Ouimette,Karl-Ouimette
Keegan Rosenberry\Keegan-Rosenberry,3060,2016,Keegan Rosenberry,Keegan-Rosenberry
Kei Kamara\Kei-Kamara,2656,2016,Kei Kamara,Kei-Kamara
Kekuta Manneh\Kekuta-Manneh,1135,2016,Kekuta Manneh,Kekuta-Manneh
Kellyn Acosta\Kellyn-Acosta,2330,2016,Kellyn Acosta,Kellyn-Acosta
Kelyn Rowe\Kelyn-Rowe,2782,2016,Kelyn Rowe,Kelyn-Rowe
Kemar Lawrence\Kemar-Lawrence,1799,2016,Kemar Lawrence,Kemar-Lawrence
Ken Tribbett\Ken-Tribbett,1729,2016,Ken Tribbett,Ken-Tribbett
Kendall Waston\Kendall-Waston,2267,2016,Kendall Waston,Kendall-Waston
Kennedy Igboananike\Kennedy-Igboananike,1752,2016,Kennedy Igboananike,Kennedy-Igboananike
Kevin Alston\Kevin-Alston,1992,2016,Kevin Alston,Kevin-Alston
Kevin Doyle\Kevin-Doyle,2259,2016,Kevin Doyle,Kevin-Doyle
Kevin Ellis\Kevin-Ellis,954,2016,Kevin Ellis,Kevin-Ellis
Kevin Molino\Kevin-Molino,2314,2016,Kevin Molino,Kevin-Molino
Keyner Brown\Keyner-Brown,285,2016,Keyner Brown,Keyner-Brown
Khaly Thiam\Khaly-Thiam,1284,2016,Khaly Thiam,Khaly-Thiam
Khiry Shelton\Khiry-Shelton,1160,2016,Khiry Shelton,Khiry-Shelton
Kianz Froese\Kianz-Froese,151,2016,Kianz Froese,Kianz-Froese
Kip Colvey\Kip-Colvey,315,2016,Kip Colvey,Kip-Colvey
Kofi Opare\Kofi-Opare,874,2016,Kofi Opare,Kofi-Opare
Kofi Sarkodie\Kofi-Sarkodie,1040,2016,Kofi Sarkodie,Kofi-Sarkodie
Kwadwo Poku\Kwadwo-Poku,268,2016,Kwadwo Poku,Kwadwo-Poku
Kyle Beckerman\Kyle-Beckerman,2366,2016,Kyle Beckerman,Kyle-Beckerman
Kyle Bekker\Kyle-Bekker,1138,2016,Kyle Bekker,Kyle-Bekker
Kyle Fisher\Kyle-Fisher,180,2016,Kyle Fisher,Kyle-Fisher
Lamar Neagle\Lamar-Neagle,1950,2016,Lamar Neagle,Lamar-Neagle
Landon Donovan\Landon-Donovan,235,2016,Landon Donovan,Landon-Donovan
Laurent Ciman\Laurent-Ciman,2483,2016,Laurent Ciman,Laurent-Ciman
Lawrence Olum\Lawrence-Olum,1468,2016,Lawrence Olum,Lawrence-Olum
Lee Nguyen\Lee-Nguyen,2894,2016,Lee Nguyen,Lee-Nguyen
Leo Fernandes\Leo-Fernandes,264,2016,Leo Fernandes,Leo-Fernandes
Leonardo\Leonardo,360,2016,Leonardo,Leonardo
Leonel Miranda\Leonel-Miranda,492,2016,Leonel Miranda,Leonel-Miranda
Liam Ridgewell\Liam-Ridgewell,1980,2016,Liam Ridgewell,Liam-Ridgewell
Lloyd Sam\Lloyd-Sam,2008,2016,Lloyd Sam,Lloyd-Sam
London Woodberry\London-Woodberry,2069,2016,London Woodberry,London-Woodberry
Lucas Melano\Lucas-Melano,2259,2016,Lucas Melano,Lucas-Melano
Lucas Ontivero\Lucas-Ontivero,975,2016,Lucas Ontivero,Lucas-Ontivero
Luciano Acosta\Luciano-Acosta,2100,2016,Luciano Acosta,Luciano-Acosta
Luis Robles\Luis-Robles,3060,2016,Luis Robles,Luis-Robles
Luis Solignac\Luis-Solignac,2176,2016,Luis Solignac,Luis-Solignac
Luke Boden\Luke-Boden,1611,2016,Luke Boden,Luke-Boden
Luke Mishu\Luke-Mishu,449,2016,Luke Mishu,Luke-Mishu
Luke Mulholland\Luke-Mulholland,2023,2016,Luke Mulholland,Luke-Mulholland
Marc Burch\Marc-Burch,2443,2016,Marc Burch,Marc-Burch
Marcel de Jong\Marcel-de-Jong,468,2016,Marcel de Jong,Marcel-de-Jong
